Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"log2","5,165","5,165",24.24,24.24,
"std::generate_canonical<double,-1,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >","16,589","3,961",77.85,18.59,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","4,652","3,532",21.83,16.58,
"ceil","2,811","2,811",13.19,13.19,
"mutate","18,464","1,907",86.65,8.95,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower","1,120","1,120",5.26,5.26,
"decode",872,766,4.09,3.59,
"_malloc_base",504,504,2.37,2.37,
"_free_base",335,335,1.57,1.57,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append",252,252,1.18,1.18,
"memcpy",222,222,1.04,1.04,
"check_guess",685,179,3.21,0.84,
"std::basic_streambuf<char,std::char_traits<char> >::xsputn",81,81,0.38,0.38,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Construct<unsigned char * __ptr64>",317,65,1.49,0.31,
"_Xtime_get_ticks",48,48,0.23,0.23,
"memcmp",39,39,0.18,0.18,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",446,33,2.09,0.15,
"roulette_wheel_selection",88,26,0.41,0.12,
"std::_Uninitialized_move_al_unchecked1<std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >",24,24,0.11,0.11,
"memset",19,19,0.09,0.09,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Tidy",298,18,1.40,0.08,
"free",16,16,0.08,0.08,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",285,15,1.34,0.07,
"std::_Wrap_alloc<std::allocator<unsigned int> >::allocate",421,13,1.98,0.06,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::push_back",63,13,0.30,0.06,
"std::basic_ostream<char,std::char_traits<char> >::operator<<",12,12,0.06,0.06,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",65,12,0.31,0.06,
"operator new",525,11,2.46,0.05,
"std::swap<genome,void>",12,10,0.06,0.05,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",168,10,0.79,0.05,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",22,9,0.10,0.04,
"cross_over",210,8,0.99,0.04,
"malloc",7,7,0.03,0.03,
"epoch","19,387",6,90.98,0.03,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",106,6,0.50,0.03,
"update_epoch","20,440",6,95.93,0.03,
"std::vector<unsigned char,std::allocator<unsigned char> >::vector<unsigned char,std::allocator<unsigned char> >",59,5,0.28,0.02,
"__security_check_cookie",4,4,0.02,0.02,
"_wspawnvpe",4,4,0.02,0.02,
"std::_Uninitialized_default_fill_n1<genome * __ptr64,unsigned __int64,std::allocator<genome> >",4,4,0.02,0.02,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",50,4,0.23,0.02,
"__chkstk",3,3,0.01,0.01,
"__uncaught_exception",3,3,0.01,0.01,
"main","21,308",3,100.00,0.01,
"malloc",3,3,0.01,0.01,
"std::basic_ostream<char,std::char_traits<char> >::put",3,3,0.01,0.01,
"free",2,2,0.01,0.01,
"operator delete",2,2,0.01,0.01,
"fflush",1,1,0.00,0.00,
"memset",1,1,0.00,0.00,
"std::_Guess_median_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",1,1,0.00,0.00,
"std::uncaught_exception",1,1,0.00,0.00,
"std::vector<genome,std::allocator<genome> >::operator=",112,1,0.53,0.00,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Tidy",72,1,0.34,0.00,
"system",1,1,0.00,0.00,
"__scrt_common_main_seh","21,308",0,100.00,0.00,
"std::_Sort_unchecked1<genome * __ptr64,__int64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",22,0,0.10,0.00,
"std::basic_filebuf<char,std::char_traits<char> >::sync",1,0,0.00,0.00,
"std::basic_ostream<char,std::char_traits<char> >::flush",1,0,0.00,0.00,
"std::endl<char,std::char_traits<char> >",4,0,0.02,0.00,
"std::operator<<<char,std::char_traits<char>,std::allocator<char> >",44,0,0.21,0.00,
"std::operator<<<std::char_traits<char> >",41,0,0.19,0.00,
"std::vector<genome,std::allocator<genome> >::vector<genome,std::allocator<genome> >",6,0,0.03,0.00,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",3,0,0.01,0.00,
