Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"__crt_state_management::dual_state_global<void (*)(int)>::initialize",2,2,0.01,0.01,
"__security_check_cookie",2,2,0.01,0.01,
"GetLastErrorStub",2,2,0.01,0.01,
"NtCreateUserProcess",2,2,0.01,0.01,
"RtlEnterCriticalSection",2,2,0.01,0.01,
"RtlpCoalesceFreeBlocks",2,2,0.01,0.01,
"WriteFile",73,2,0.40,0.01,
"__acrt_stdio_flush_nolock",88,1,0.48,0.01,
"__crt_stdio_output::output_processor<char,__crt_stdio_output::string_output_adapter<char>,__crt_stdio_output::format_validation_base<char,__crt_stdio_output::string_output_adapter<char> > >::process",1,1,0.01,0.01,
"__except_validate_context_record",1,1,0.01,0.01,
"__security_check_cookie",1,1,0.01,0.01,
"__security_check_cookie",1,1,0.01,0.01,
"__uncaught_exception",4,1,0.02,0.01,
"_fileno",1,1,0.01,0.01,
"_guard_dispatch_icall_nop",1,1,0.01,0.01,
"_isatty",1,1,0.01,0.01,
"ExpInterlockedPopEntrySList",1,1,0.01,0.01,
"ExpInterlockedPopEntrySListResume",1,1,0.01,0.01,
"FlsGetValue",1,1,0.01,0.01,
"fputc",93,1,0.51,0.01,
"main","18,390",1,100.00,0.01,
"NtFreeVirtualMemory",1,1,0.01,0.01,
"RtlDetermineDosPathNameType_U",1,1,0.01,0.01,
"RtlpIsSubSegmentReuseable",1,1,0.01,0.01,
"std::_Rng_from_urng<unsigned int,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >::operator()",1,1,0.01,0.01,
"std::basic_filebuf<char,std::char_traits<char> >::overflow",96,1,0.52,0.01,
"std::vector<genome,std::allocator<genome> >::_Tidy",123,1,0.67,0.01,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Insert<std::_Vector_const_iterator<std::_Vector_val<std::_Simple_types<unsigned int> > > >",12,1,0.07,0.01,
"toupper",2,1,0.01,0.01,
"__acrt_uninitialize_command_line",1,0,0.01,0.00,
"__crt_seh_guarded_call<bool>::operator()",3,0,0.02,0.00,
"__crt_strtox::parse_integer",87,0,0.47,0.00,
"__scrt_common_main_seh","18,390",0,100.00,0.00,
"__stdio_common_vsprintf_s",2,0,0.01,0.00,
"__vcrt_FlsGetValue",1,0,0.01,0.00,
"__vcrt_getptd_noexit",3,0,0.02,0.00,
"_write",87,0,0.47,0.00,
"_write_nolock",84,0,0.46,0.00,
"_wspawnvpe",3,0,0.02,0.00,
"BaseThreadInitThunk","18,390",0,100.00,0.00,
"CreateProcessA",3,0,0.02,0.00,
"CreateProcessAStub",3,0,0.02,0.00,
"CreateProcessInternalA",3,0,0.02,0.00,
"CreateProcessInternalW",3,0,0.02,0.00,
"fputs",74,0,0.40,0.00,
"RtlpAllocateUserBlockFromHeap",2,0,0.01,0.00,
"RtlpCollectFreeBlocks",1,0,0.01,0.00,
"RtlpDecommitBlock",1,0,0.01,0.00,
"RtlpDeCommitFreeBlock",3,0,0.02,0.00,
"RtlpFreeUserBlock",1,0,0.01,0.00,
"RtlpFreeUserBlockToHeap",1,0,0.01,0.00,
"RtlpSecMemFreeVirtualMemory",1,0,0.01,0.00,
"RtlUserThreadStart","18,390",0,100.00,0.00,
"sprintf_s",2,0,0.01,0.00,
"std::_Guess_median_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",1,0,0.01,0.00,
"std::_Sort_unchecked1<genome * __ptr64,__int64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",35,0,0.19,0.00,
"std::basic_ostream<char,std::char_traits<char> >::operator<<",10,0,0.05,0.00,
"std::basic_ostream<char,std::char_traits<char> >::put",1,0,0.01,0.00,
"std::basic_streambuf<char,std::char_traits<char> >::sputc",8,0,0.04,0.00,
"std::basic_streambuf<char,std::char_traits<char> >::xsputn",88,0,0.48,0.00,
"std::endl<char,std::char_traits<char> >",1,0,0.01,0.00,
"std::num_put<char,std::ostreambuf_iterator<char,std::char_traits<char> > >::_Iput",7,0,0.04,0.00,
"std::num_put<char,std::ostreambuf_iterator<char,std::char_traits<char> > >::do_put",9,0,0.05,0.00,
"std::operator<<<char,std::char_traits<char>,std::allocator<char> >",46,0,0.25,0.00,
"std::operator<<<std::char_traits<char> >",45,0,0.24,0.00,
"std::vector<genome,std::allocator<genome> >::vector<genome,std::allocator<genome> >",13,0,0.07,0.00,
