Function Name,Inclusive Samples,Exclusive Samples,Inclusive Samples %,Exclusive Samples %,
"log2","4,772","4,772",25.95,25.95,
"std::generate_canonical<double,-1,std::mersenne_twister_engine<unsigned int,32,624,397,31,2567483615,11,4294967295,7,2636928640,15,4022730752,18,1812433253> >","15,251","3,834",82.93,20.85,
"ceil","3,026","3,026",16.45,16.45,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::operator()","3,619","2,958",19.68,16.08,
"decode",810,708,4.40,3.85,
"std::mersenne_twister<unsigned int,32,624,397,31,2567483615,11,7,2636928640,15,4022730752,18>::_Refill_lower",661,661,3.59,3.59,
"mutate","15,654",473,85.12,2.57,
"RtlpLowFragHeapAllocFromContext",371,353,2.02,1.92,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::append",241,241,1.31,1.31,
"memcpy",219,219,1.19,1.19,
"check_guess",664,172,3.61,0.94,
"RtlFreeHeap",325,126,1.77,0.69,
"RtlpTryAcquireSubSegmentLock",98,98,0.53,0.53,
"RtlpLowFragHeapFree",189,89,1.03,0.48,
"NtWriteFile",71,71,0.39,0.39,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Construct<unsigned char * __ptr64>",308,67,1.67,0.36,
"RtlpAllocateHeapInternal",437,54,2.38,0.29,
"roulette_wheel_selection",90,47,0.49,0.26,
"std::_Uninitialized_move_al_unchecked1<std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::vector<unsigned int,std::allocator<unsigned int> > * __ptr64,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >",31,31,0.17,0.17,
"memcmp",29,29,0.16,0.16,
"std::vector<unsigned int,std::allocator<unsigned int> >::operator=",431,29,2.34,0.16,
"_malloc_base",484,24,2.63,0.13,
"RtlAllocateHeap",23,23,0.13,0.13,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Tidy",290,21,1.58,0.11,
"memset",20,20,0.11,0.11,
"RtlpAllocateHeap",14,14,0.08,0.08,
"RtlpSubSegmentInitialize",14,14,0.08,0.08,
"std::_Wrap_alloc<std::allocator<unsigned int> >::allocate",406,13,2.21,0.07,
"operator new",505,12,2.75,0.07,
"std::_Uninitialized_default_fill_n1<genome * __ptr64,unsigned __int64,std::allocator<genome> >",12,12,0.07,0.07,
"std::_Partition_by_median_guess_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",29,11,0.16,0.06,
"std::basic_string<char,std::char_traits<char>,std::allocator<char> >::_Copy",60,10,0.33,0.05,
"std::swap<genome,void>",12,10,0.07,0.05,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::push_back",68,10,0.37,0.05,
"cross_over",178,9,0.97,0.05,
"std::vector<unsigned int,std::allocator<unsigned int> >::_Buy",272,9,1.48,0.05,
"RtlpFreeHeap",11,8,0.06,0.04,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",145,8,0.79,0.04,
"comp_by_fitness",7,7,0.04,0.04,
"_free_base",330,5,1.79,0.03,
"free",5,5,0.03,0.03,
"malloc",5,5,0.03,0.03,
"operator delete",5,5,0.03,0.03,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Reallocate",58,5,0.32,0.03,
"malloc",4,4,0.02,0.02,
"std::vector<unsigned char,std::allocator<unsigned char> >::vector<unsigned char,std::allocator<unsigned char> >",60,4,0.33,0.02,
"std::vector<unsigned int,std::allocator<unsigned int> >::vector<unsigned int,std::allocator<unsigned int> >",102,4,0.55,0.02,
"update_epoch","17,559",4,95.48,0.02,
"epoch","16,551",3,90.00,0.02,
"free",3,3,0.02,0.02,
"RtlLeaveCriticalSection",3,3,0.02,0.02,
"RtlSetLastWin32Error",4,3,0.02,0.02,
"std::_Insertion_sort_unchecked<genome * __ptr64,bool (__cdecl*)(genome const & __ptr64,genome const & __ptr64)>",6,3,0.03,0.02,
"std::vector<std::vector<unsigned int,std::allocator<unsigned int> >,std::allocator<std::vector<unsigned int,std::allocator<unsigned int> > > >::_Tidy",61,3,0.33,0.02,
"__acrt_getptd",10,2,0.05,0.01,
